"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2021 Spring Primary","01","ADAMS COUNTY","668","600","271","11"
"2021 Spring Primary","02","ASHLAND COUNTY","770","747","392","37"
"2021 Spring Primary","03","BARRON COUNTY","1383","1363","587","15"
"2021 Spring Primary","04","BAYFIELD COUNTY","913","898","582","8"
"2021 Spring Primary","05","BROWN COUNTY","17285","17201","9292","619"
"2021 Spring Primary","06","BUFFALO COUNTY","293","264","117","1"
"2021 Spring Primary","07","BURNETT COUNTY","607","512","216","5"
"2021 Spring Primary","08","CALUMET COUNTY","2195","2180","1109","58"
"2021 Spring Primary","09","CHIPPEWA COUNTY","2362","2332","1162","49"
"2021 Spring Primary","10","CLARK COUNTY","697","541","327","10"
"2021 Spring Primary","11","COLUMBIA COUNTY","2667","2629","1339","71"
"2021 Spring Primary","12","CRAWFORD COUNTY","597","430","192","6"
"2021 Spring Primary","13","DANE COUNTY","48694","48588","27073","1103"
"2021 Spring Primary","14","DODGE COUNTY","3426","3385","1834","101"
"2021 Spring Primary","15","DOOR COUNTY","1642","1630","675","54"
"2021 Spring Primary","16","DOUGLAS COUNTY","2664","2661","1262","18"
"2021 Spring Primary","17","DUNN COUNTY","1754","1749","952","53"
"2021 Spring Primary","18","EAU CLAIRE COUNTY","4103","4093","2073","230"
"2021 Spring Primary","19","FLORENCE COUNTY","225","178","101","2"
"2021 Spring Primary","20","FOND DU LAC COUNTY","4895","4711","2883","267"
"2021 Spring Primary","21","FOREST COUNTY","338","309","195","3"
"2021 Spring Primary","22","GRANT COUNTY","1851","1575","829","22"
"2021 Spring Primary","23","GREEN COUNTY","2155","2153","1492","218"
"2021 Spring Primary","24","GREEN LAKE COUNTY","653","610","295","16"
"2021 Spring Primary","25","IOWA COUNTY","1348","1334","712","32"
"2021 Spring Primary","26","IRON COUNTY","450","449","247","5"
"2021 Spring Primary","27","JACKSON COUNTY","477","447","223","15"
"2021 Spring Primary","28","JEFFERSON COUNTY","3739","3605","1946","215"
"2021 Spring Primary","29","JUNEAU COUNTY","920","762","361","13"
"2021 Spring Primary","30","KENOSHA COUNTY","9611","9597","5043","297"
"2021 Spring Primary","31","KEWAUNEE COUNTY","784","775","386","0"
"2021 Spring Primary","32","LA CROSSE COUNTY","7189","7172","4884","520"
"2021 Spring Primary","33","LAFAYETTE COUNTY","591","591","376","5"
"2021 Spring Primary","34","LANGLADE COUNTY","644","396","258","12"
"2021 Spring Primary","35","LINCOLN COUNTY","1310","1280","448","10"
"2021 Spring Primary","36","MANITOWOC COUNTY","3296","3278","2122","122"
"2021 Spring Primary","37","MARATHON COUNTY","6216","6150","3204","127"
"2021 Spring Primary","38","MARINETTE COUNTY","2009","2000","1139","93"
"2021 Spring Primary","39","MARQUETTE COUNTY","615","495","200","9"
"2021 Spring Primary","40","MENOMINEE COUNTY","65","65","14","0"
"2021 Spring Primary","41","MILWAUKEE COUNTY","66710","66575","28924","1379"
"2021 Spring Primary","42","MONROE COUNTY","1386","1363","646","13"
"2021 Spring Primary","43","OCONTO COUNTY","1382","1293","817","22"
"2021 Spring Primary","44","ONEIDA COUNTY","2224","2064","870","27"
"2021 Spring Primary","45","OUTAGAMIE COUNTY","8864","8846","4081","181"
"2021 Spring Primary","46","OZAUKEE COUNTY","5240","5235","2534","198"
"2021 Spring Primary","47","PEPIN COUNTY","152","139","32","1"
"2021 Spring Primary","48","PIERCE COUNTY","1469","1465","766","39"
"2021 Spring Primary","49","POLK COUNTY","1392","1286","581","13"
"2021 Spring Primary","50","PORTAGE COUNTY","3241","3232","1752","85"
"2021 Spring Primary","51","PRICE COUNTY","506","467","162","0"
"2021 Spring Primary","52","RACINE COUNTY","10023","9974","3517","170"
"2021 Spring Primary","53","RICHLAND COUNTY","713","567","283","11"
"2021 Spring Primary","54","ROCK COUNTY","8055","8022","4115","128"
"2021 Spring Primary","55","RUSK COUNTY","419","379","117","4"
"2021 Spring Primary","56","ST. CROIX COUNTY","3922","3904","1900","81"
"2021 Spring Primary","57","SAUK COUNTY","3166","3011","1579","71"
"2021 Spring Primary","58","SAWYER COUNTY","971","956","450","8"
"2021 Spring Primary","59","SHAWANO COUNTY","1407","1342","748","34"
"2021 Spring Primary","60","SHEBOYGAN COUNTY","6232","6180","3728","382"
"2021 Spring Primary","61","TAYLOR COUNTY","401","335","193","2"
"2021 Spring Primary","62","TREMPEALEAU COUNTY","737","631","291","6"
"2021 Spring Primary","63","VERNON COUNTY","1042","829","334","10"
"2021 Spring Primary","64","VILAS COUNTY","1157","1115","505","15"
"2021 Spring Primary","65","WALWORTH COUNTY","4350","4339","2216","128"
"2021 Spring Primary","66","WASHBURN COUNTY","780","687","293","6"
"2021 Spring Primary","67","WASHINGTON COUNTY","6676","6502","3245","310"
"2021 Spring Primary","68","WAUKESHA COUNTY","23649","23305","10757","845"
"2021 Spring Primary","69","WAUPACA COUNTY","1949","1940","851","41"
"2021 Spring Primary","70","WAUSHARA COUNTY","758","750","295","7"
"2021 Spring Primary","71","WINNEBAGO COUNTY","8577","8565","4190","180"
"2021 Spring Primary","72","WOOD COUNTY","3333","3318","1817","63"
"2021 Spring Primary","99999","TOTAL","322984","318351","159402","8912"
