"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2021 Spring Primary","01002","TOWN OF ADAMS - ADAMS COUNTY","21","21","0","0"
"2021 Spring Primary","01004","TOWN OF BIG FLATS - ADAMS COUNTY","16","0","0",""
"2021 Spring Primary","01006","TOWN OF COLBURN - ADAMS COUNTY","8","0","0",""
"2021 Spring Primary","01008","TOWN OF DELL PRAIRIE - ADAMS COUNTY","39","37","0","0"
"2021 Spring Primary","01010","TOWN OF EASTON - ADAMS COUNTY","40","0","0",""
"2021 Spring Primary","01012","TOWN OF JACKSON - ADAMS COUNTY","34","29","0","0"
"2021 Spring Primary","01016","TOWN OF LINCOLN - ADAMS COUNTY","10","0","0",""
"2021 Spring Primary","01018","TOWN OF MONROE - ADAMS COUNTY","11","6","0","0"
"2021 Spring Primary","01020","TOWN OF NEW CHESTER - ADAMS COUNTY","30","30","0","0"
"2021 Spring Primary","01022","TOWN OF NEW HAVEN - ADAMS COUNTY","20","20","0","0"
"2021 Spring Primary","01024","TOWN OF PRESTON - ADAMS COUNTY","39","0","0",""
"2021 Spring Primary","01026","TOWN OF QUINCY - ADAMS COUNTY","41","41","1","0"
"2021 Spring Primary","01028","TOWN OF RICHFIELD - ADAMS COUNTY","2","0","0",""
"2021 Spring Primary","01030","TOWN OF ROME - ADAMS COUNTY","108","108","0","0"
"2021 Spring Primary","01032","TOWN OF SPRINGVILLE - ADAMS COUNTY","44","0","0",""
"2021 Spring Primary","01034","TOWN OF STRONGS PRAIRIE - ADAMS COUNTY","24","0","0",""
"2021 Spring Primary","01126","VILLAGE OF FRIENDSHIP - ADAMS COUNTY","8","7","0","0"
"2021 Spring Primary","01201","CITY OF ADAMS - ADAMS COUNTY","85","85","0","0"
"2021 Spring Primary","02002","TOWN OF AGENDA - ASHLAND COUNTY","22","0","0",""
"2021 Spring Primary","02004","TOWN OF ASHLAND - ASHLAND COUNTY","19","0","0",""
"2021 Spring Primary","02006","TOWN OF CHIPPEWA - ASHLAND COUNTY","3","0","0",""
"2021 Spring Primary","02008","TOWN OF GINGLES - ASHLAND COUNTY","30","30","0","0"
"2021 Spring Primary","02010","TOWN OF GORDON - ASHLAND COUNTY","7","7","0","0"
"2021 Spring Primary","02012","TOWN OF JACOBS - ASHLAND COUNTY","10","0","0",""
"2021 Spring Primary","02014","TOWN OF LA POINTE - ASHLAND COUNTY","22","21","0","0"
"2021 Spring Primary","02016","TOWN OF MARENGO - ASHLAND COUNTY","9","0","0",""
"2021 Spring Primary","02018","TOWN OF MORSE - ASHLAND COUNTY","21","0","0",""
"2021 Spring Primary","02020","TOWN OF PEEKSVILLE - ASHLAND COUNTY","1","0","0",""
"2021 Spring Primary","02022","TOWN OF SANBORN - ASHLAND COUNTY","18","0","0",""
"2021 Spring Primary","02024","TOWN OF SHANAGOLDEN - ASHLAND COUNTY","6","0","0",""
"2021 Spring Primary","02026","TOWN OF WHITE RIVER - ASHLAND COUNTY","21","20","0","0"
"2021 Spring Primary","02106","VILLAGE OF BUTTERNUT - ASHLAND COUNTY","6","0","0",""
"2021 Spring Primary","02201","CITY OF ASHLAND - MULTIPLE COUNTIES","451","449","0","0"
"2021 Spring Primary","02251","CITY OF MELLEN - ASHLAND COUNTY","11","0","0",""
"2021 Spring Primary","03002","TOWN OF ALMENA - BARRON COUNTY","23","23","0","0"
"2021 Spring Primary","03004","TOWN OF ARLAND - BARRON COUNTY","5","0","0",""
"2021 Spring Primary","03006","TOWN OF BARRON - BARRON COUNTY","15","0","0",""
"2021 Spring Primary","03008","TOWN OF BEAR LAKE - BARRON COUNTY","12","12","0","0"
